networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,2)","CentralAndEdgeInstances(4,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,4)","CentralAndEdgeInstances(9,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,6)","CentralAndEdgeInstances(14,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,8)","CentralAndEdgeInstances(19,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,10)","CentralAndEdgeInstances(24,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,12)","CentralAndEdgeInstances(29,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,14)","CentralAndEdgeInstances(34,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,16)","CentralAndEdgeInstances(39,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,18)","CentralAndEdgeInstances(44,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,20)","CentralAndEdgeInstances(49,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,22)","CentralAndEdgeInstances(54,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,24)","CentralAndEdgeInstances(59,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,26)","CentralAndEdgeInstances(64,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,28)","CentralAndEdgeInstances(69,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,30)","CentralAndEdgeInstances(74,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,32)","CentralAndEdgeInstances(79,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,34)","CentralAndEdgeInstances(84,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,36)","CentralAndEdgeInstances(89,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,38)","CentralAndEdgeInstances(94,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,40)","CentralAndEdgeInstances(99,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,42)","CentralAndEdgeInstances(104,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,44)","CentralAndEdgeInstances(109,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,46)","CentralAndEdgeInstances(114,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,48)","CentralAndEdgeInstances(119,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,50)","CentralAndEdgeInstances(124,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,52)","CentralAndEdgeInstances(129,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,54)","CentralAndEdgeInstances(134,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,56)","CentralAndEdgeInstances(139,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,58)","CentralAndEdgeInstances(144,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,60)","CentralAndEdgeInstances(149,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,62)","CentralAndEdgeInstances(154,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,64)","CentralAndEdgeInstances(159,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,66)","CentralAndEdgeInstances(164,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,68)","CentralAndEdgeInstances(169,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,70)","CentralAndEdgeInstances(174,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,72)","CentralAndEdgeInstances(179,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,74)","CentralAndEdgeInstances(184,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,76)","CentralAndEdgeInstances(189,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,78)","CentralAndEdgeInstances(194,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,80)","CentralAndEdgeInstances(199,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,82)","CentralAndEdgeInstances(204,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,84)","CentralAndEdgeInstances(209,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,86)","CentralAndEdgeInstances(214,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,88)","CentralAndEdgeInstances(219,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,90)","CentralAndEdgeInstances(224,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,92)","CentralAndEdgeInstances(229,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,94)","CentralAndEdgeInstances(234,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,96)","CentralAndEdgeInstances(239,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,98)","CentralAndEdgeInstances(244,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,100)","CentralAndEdgeInstances(249,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,102)","CentralAndEdgeInstances(254,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,104)","CentralAndEdgeInstances(259,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,106)","CentralAndEdgeInstances(264,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,108)","CentralAndEdgeInstances(269,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,110)","CentralAndEdgeInstances(274,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,112)","CentralAndEdgeInstances(279,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,114)","CentralAndEdgeInstances(284,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,116)","CentralAndEdgeInstances(289,4,4)",0
0.0,0.0,SpyableGeoScheduler,"SimpleJobGraph(10,118)","CentralAndEdgeInstances(294,4,4)",0
