networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
0.0,20.0,SpyableGeoScheduler,"SimpleJobGraph(4,4)","CentralAndEdgeInstances(4,4,4)",20000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,4)","CentralAndEdgeInstances(4,4,4)",0
0.0,34.0,SpyableGeoScheduler,"SimpleJobGraph(4,15)","CentralAndEdgeInstances(5,9,5)",34000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,15)","CentralAndEdgeInstances(5,9,5)",0
0.0,50.0,SpyableGeoScheduler,"SimpleJobGraph(4,28)","CentralAndEdgeInstances(6,14,6)",50000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,28)","CentralAndEdgeInstances(6,14,6)",0
0.0,68.0,SpyableGeoScheduler,"SimpleJobGraph(4,43)","CentralAndEdgeInstances(7,19,7)",68000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,43)","CentralAndEdgeInstances(7,19,7)",0
0.0,88.0,SpyableGeoScheduler,"SimpleJobGraph(4,60)","CentralAndEdgeInstances(8,24,8)",88000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,60)","CentralAndEdgeInstances(8,24,8)",0
0.0,101.0,SpyableGeoScheduler,"SimpleJobGraph(4,79)","CentralAndEdgeInstances(9,29,9)",101000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,79)","CentralAndEdgeInstances(9,29,9)",0
0.0,114.0,SpyableGeoScheduler,"SimpleJobGraph(4,100)","CentralAndEdgeInstances(10,34,10)",114000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,100)","CentralAndEdgeInstances(10,34,10)",0
0.0,127.0,SpyableGeoScheduler,"SimpleJobGraph(4,123)","CentralAndEdgeInstances(11,39,11)",127000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,123)","CentralAndEdgeInstances(11,39,11)",0
0.0,140.0,SpyableGeoScheduler,"SimpleJobGraph(4,148)","CentralAndEdgeInstances(12,44,12)",140000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,148)","CentralAndEdgeInstances(12,44,12)",0
0.0,153.0,SpyableGeoScheduler,"SimpleJobGraph(4,175)","CentralAndEdgeInstances(13,49,13)",153000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,175)","CentralAndEdgeInstances(13,49,13)",0
0.0,166.0,SpyableGeoScheduler,"SimpleJobGraph(4,204)","CentralAndEdgeInstances(14,54,14)",166000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,204)","CentralAndEdgeInstances(14,54,14)",0
0.0,179.0,SpyableGeoScheduler,"SimpleJobGraph(4,235)","CentralAndEdgeInstances(15,59,15)",179000
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,235)","CentralAndEdgeInstances(15,59,15)",0
