networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
0.0,20.0,SpyableGeoScheduler,SimpleJobGraph(4),"CentralAndEdgeInstances(4,4,4)",20000
0.0,9.0,SpyableFlinkScheduler,SimpleJobGraph(4),"CentralAndEdgeInstances(4,4,4)",0
0.0,29.0,SpyableGeoScheduler,SimpleJobGraph(8),"CentralAndEdgeInstances(4,5,6)",29000
0.0,17.0,SpyableFlinkScheduler,SimpleJobGraph(8),"CentralAndEdgeInstances(4,5,6)",0
0.0,38.0,SpyableGeoScheduler,SimpleJobGraph(12),"CentralAndEdgeInstances(4,6,8)",38000
0.0,25.0,SpyableFlinkScheduler,SimpleJobGraph(12),"CentralAndEdgeInstances(4,6,8)",0
0.0,47.0,SpyableGeoScheduler,SimpleJobGraph(16),"CentralAndEdgeInstances(4,7,10)",47000
0.0,33.0,SpyableFlinkScheduler,SimpleJobGraph(16),"CentralAndEdgeInstances(4,7,10)",0
0.0,56.0,SpyableGeoScheduler,SimpleJobGraph(20),"CentralAndEdgeInstances(4,8,12)",56000
0.0,41.0,SpyableFlinkScheduler,SimpleJobGraph(20),"CentralAndEdgeInstances(4,8,12)",0
0.0,65.0,SpyableGeoScheduler,SimpleJobGraph(24),"CentralAndEdgeInstances(4,9,14)",65000
1.0,49.0,SpyableFlinkScheduler,SimpleJobGraph(24),"CentralAndEdgeInstances(4,9,14)",0
0.0,74.0,SpyableGeoScheduler,SimpleJobGraph(28),"CentralAndEdgeInstances(4,10,16)",74000
2.0,57.0,SpyableFlinkScheduler,SimpleJobGraph(28),"CentralAndEdgeInstances(4,10,16)",0
0.0,83.0,SpyableGeoScheduler,SimpleJobGraph(32),"CentralAndEdgeInstances(4,11,18)",83000
1.0,65.0,SpyableFlinkScheduler,SimpleJobGraph(32),"CentralAndEdgeInstances(4,11,18)",0
0.0,92.0,SpyableGeoScheduler,SimpleJobGraph(36),"CentralAndEdgeInstances(4,12,20)",92000
4.0,73.0,SpyableFlinkScheduler,SimpleJobGraph(36),"CentralAndEdgeInstances(4,12,20)",0
0.0,101.0,SpyableGeoScheduler,SimpleJobGraph(40),"CentralAndEdgeInstances(4,13,22)",101000
3.0,81.0,SpyableFlinkScheduler,SimpleJobGraph(40),"CentralAndEdgeInstances(4,13,22)",0
0.0,110.0,SpyableGeoScheduler,SimpleJobGraph(44),"CentralAndEdgeInstances(4,14,24)",110000
4.0,89.0,SpyableFlinkScheduler,SimpleJobGraph(44),"CentralAndEdgeInstances(4,14,24)",0
0.0,119.0,SpyableGeoScheduler,SimpleJobGraph(48),"CentralAndEdgeInstances(4,15,26)",119000
5.0,97.0,SpyableFlinkScheduler,SimpleJobGraph(48),"CentralAndEdgeInstances(4,15,26)",0
0.0,128.0,SpyableGeoScheduler,SimpleJobGraph(52),"CentralAndEdgeInstances(4,16,28)",128000
6.0,105.0,SpyableFlinkScheduler,SimpleJobGraph(52),"CentralAndEdgeInstances(4,16,28)",0
0.0,137.0,SpyableGeoScheduler,SimpleJobGraph(56),"CentralAndEdgeInstances(4,17,30)",137000
7.0,113.0,SpyableFlinkScheduler,SimpleJobGraph(56),"CentralAndEdgeInstances(4,17,30)",0
0.0,146.0,SpyableGeoScheduler,SimpleJobGraph(60),"CentralAndEdgeInstances(4,18,32)",146000
6.0,121.0,SpyableFlinkScheduler,SimpleJobGraph(60),"CentralAndEdgeInstances(4,18,32)",0
0.0,155.0,SpyableGeoScheduler,SimpleJobGraph(64),"CentralAndEdgeInstances(4,19,34)",155000
5.0,129.0,SpyableFlinkScheduler,SimpleJobGraph(64),"CentralAndEdgeInstances(4,19,34)",0
8.0,137.0,SpyableFlinkScheduler,SimpleJobGraph(68),"CentralAndEdgeInstances(4,20,36)",0
0.0,173.0,SpyableGeoScheduler,SimpleJobGraph(72),"CentralAndEdgeInstances(4,21,38)",173000
