networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
1.5999999999999999,45.0,SpyableGeoScheduler,"SimpleJobGraph(4,5)","CentralAndEdgeInstances(4,4,4)",79
0.0,52.0,SpyableGeoScheduler,"SimpleJobGraph(6,4)","CentralAndEdgeInstances(4,5,6)",2
0.0,68.0,SpyableGeoScheduler,"SimpleJobGraph(8,4)","CentralAndEdgeInstances(4,6,8)",4
0.0,84.0,SpyableGeoScheduler,"SimpleJobGraph(10,4)","CentralAndEdgeInstances(4,7,10)",5
0.0,100.0,SpyableGeoScheduler,"SimpleJobGraph(12,4)","CentralAndEdgeInstances(4,8,12)",6
0.0,116.0,SpyableGeoScheduler,"SimpleJobGraph(14,4)","CentralAndEdgeInstances(4,9,14)",6
0.0,132.0,SpyableGeoScheduler,"SimpleJobGraph(16,4)","CentralAndEdgeInstances(4,10,16)",6
0.0,148.0,SpyableGeoScheduler,"SimpleJobGraph(18,4)","CentralAndEdgeInstances(4,11,18)",8
0.0,164.0,SpyableGeoScheduler,"SimpleJobGraph(20,4)","CentralAndEdgeInstances(4,12,20)",10
0.0,180.0,SpyableGeoScheduler,"SimpleJobGraph(22,4)","CentralAndEdgeInstances(4,13,22)",13
0.0,196.0,SpyableGeoScheduler,"SimpleJobGraph(24,4)","CentralAndEdgeInstances(4,14,24)",10
0.0,212.0,SpyableGeoScheduler,"SimpleJobGraph(26,4)","CentralAndEdgeInstances(4,15,26)",12
0.0,228.0,SpyableGeoScheduler,"SimpleJobGraph(28,4)","CentralAndEdgeInstances(4,16,28)",13
0.0,244.0,SpyableGeoScheduler,"SimpleJobGraph(30,4)","CentralAndEdgeInstances(4,17,30)",15
0.0,260.0,SpyableGeoScheduler,"SimpleJobGraph(32,4)","CentralAndEdgeInstances(4,18,32)",14
0.0,276.0,SpyableGeoScheduler,"SimpleJobGraph(34,4)","CentralAndEdgeInstances(4,19,34)",24
0.0,292.0,SpyableGeoScheduler,"SimpleJobGraph(36,4)","CentralAndEdgeInstances(4,20,36)",26
0.0,308.0,SpyableGeoScheduler,"SimpleJobGraph(38,4)","CentralAndEdgeInstances(4,21,38)",23
0.0,324.0,SpyableGeoScheduler,"SimpleJobGraph(40,4)","CentralAndEdgeInstances(4,22,40)",35
0.0,340.0,SpyableGeoScheduler,"SimpleJobGraph(42,4)","CentralAndEdgeInstances(4,23,42)",28
0.0,356.0,SpyableGeoScheduler,"SimpleJobGraph(44,4)","CentralAndEdgeInstances(4,24,44)",24
0.0,372.0,SpyableGeoScheduler,"SimpleJobGraph(46,4)","CentralAndEdgeInstances(4,25,46)",118
0.0,388.0,SpyableGeoScheduler,"SimpleJobGraph(48,4)","CentralAndEdgeInstances(4,26,48)",80
0.0,404.0,SpyableGeoScheduler,"SimpleJobGraph(50,4)","CentralAndEdgeInstances(4,27,50)",148
0.0,420.0,SpyableGeoScheduler,"SimpleJobGraph(52,4)","CentralAndEdgeInstances(4,28,52)",112
0.0,436.0,SpyableGeoScheduler,"SimpleJobGraph(54,4)","CentralAndEdgeInstances(4,29,54)",69
0.0,452.0,SpyableGeoScheduler,"SimpleJobGraph(56,4)","CentralAndEdgeInstances(4,30,56)",119
0.0,468.0,SpyableGeoScheduler,"SimpleJobGraph(58,4)","CentralAndEdgeInstances(4,31,58)",122
0.0,484.0,SpyableGeoScheduler,"SimpleJobGraph(60,4)","CentralAndEdgeInstances(4,32,60)",111
0.0,500.0,SpyableGeoScheduler,"SimpleJobGraph(62,4)","CentralAndEdgeInstances(4,33,62)",143
0.0,516.0,SpyableGeoScheduler,"SimpleJobGraph(64,4)","CentralAndEdgeInstances(4,34,64)",161
0.0,532.0,SpyableGeoScheduler,"SimpleJobGraph(66,4)","CentralAndEdgeInstances(4,35,66)",179
0.0,548.0,SpyableGeoScheduler,"SimpleJobGraph(68,4)","CentralAndEdgeInstances(4,36,68)",140
0.0,564.0,SpyableGeoScheduler,"SimpleJobGraph(70,4)","CentralAndEdgeInstances(4,37,70)",163
0.0,580.0,SpyableGeoScheduler,"SimpleJobGraph(72,4)","CentralAndEdgeInstances(4,38,72)",115
0.0,596.0,SpyableGeoScheduler,"SimpleJobGraph(74,4)","CentralAndEdgeInstances(4,39,74)",142
0.0,612.0,SpyableGeoScheduler,"SimpleJobGraph(76,4)","CentralAndEdgeInstances(4,40,76)",117
0.0,628.0,SpyableGeoScheduler,"SimpleJobGraph(78,4)","CentralAndEdgeInstances(4,41,78)",115
0.0,644.0,SpyableGeoScheduler,"SimpleJobGraph(80,4)","CentralAndEdgeInstances(4,42,80)",94
0.0,660.0,SpyableGeoScheduler,"SimpleJobGraph(82,4)","CentralAndEdgeInstances(4,43,82)",133
0.0,676.0,SpyableGeoScheduler,"SimpleJobGraph(84,4)","CentralAndEdgeInstances(4,44,84)",100
0.0,692.0,SpyableGeoScheduler,"SimpleJobGraph(86,4)","CentralAndEdgeInstances(4,45,86)",148
0.0,708.0,SpyableGeoScheduler,"SimpleJobGraph(88,4)","CentralAndEdgeInstances(4,46,88)",190
0.0,724.0,SpyableGeoScheduler,"SimpleJobGraph(90,4)","CentralAndEdgeInstances(4,47,90)",187
0.0,740.0,SpyableGeoScheduler,"SimpleJobGraph(92,4)","CentralAndEdgeInstances(4,48,92)",194
0.0,756.0,SpyableGeoScheduler,"SimpleJobGraph(94,4)","CentralAndEdgeInstances(4,49,94)",190
0.0,772.0,SpyableGeoScheduler,"SimpleJobGraph(96,4)","CentralAndEdgeInstances(4,50,96)",187
0.0,788.0,SpyableGeoScheduler,"SimpleJobGraph(98,4)","CentralAndEdgeInstances(4,51,98)",177
