networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,1_center_20_slots_3_edge_4_slot,0
1.0,19.0,SpyableGeoScheduler,windowJoin,1_center_20_slots_3_edge_4_slot,19000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,1_center_20_slots_3_edge_4_slot,0
3.0000000000000004,19.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,19000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,0
3.0,19.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,19000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,0
0.0,18.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,18000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,0
0.0,18.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,18000
0.0,18.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,18000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,0
0.0,18.0,SpyableGeoScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,18000
3.9999999999999964,62.0,SpyableFlinkScheduler,windowJoin,center_10_edge3_4_edge1_4_edge2_4_,0
